Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",651,583,ST
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",21,21,OBC-NCL (PwD)
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",60,1,OPEN
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",848,338,SC
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",2971,1657,OPEN
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",1286,903,SC
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (4 Years, Bachelor of Technology)",266,101,OBC-NCL
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",906,577,SC
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",1178,663,SC
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",1900,1581,OBC-NCL
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",44,8,OBC-NCL
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1,1,OBC-NCL (PwD)
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2250,1374,OPEN
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",2535,2028,OBC-NCL
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",885,803,ST
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",708,394,SC
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",226,63,OBC-NCL
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",434,255,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",430,430,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",865,725,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",118,118,OPEN (PwD)
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",900,534,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",3788,2728,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemistry (5 Years, Integrated Master of Science)",3585,2684,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Economics (5 Years, Integrated Master of Science)",1787,1045,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",170,61,ST
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",8142,6078,OPEN
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",58,58,OPEN (PwD)
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",371,104,OBC-NCL
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",502,433,ST
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2529,2000,OBC-NCL
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",62,33,OBC-NCL
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2783,1497,OPEN
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (4 Years, Bachelor of Technology)",187,110,SC
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1337,1263,SC
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",6,6,OPEN (PwD)
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",1405,1177,SC
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",107,51,ST
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",75,51,OPEN (PwD)
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",6561,4626,OPEN
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",572,257,SC
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",354,342,ST
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemistry (4 Years, Bachelor of Science)",4880,3323,OPEN
